block_id,Bpred_2,FPReg_3,IntMap,FPMul_1,FPMul_0,DTB_0,LdStQ,FPAdd_1,IntReg_1,DTB_1,Dcache,ITB_0,L2_left,FPReg_1,FPReg_0,Bpred_1,Icache,Bpred_0,L2,IntExec,FPQ,IntReg_0,L2_right,ITB_1,DTB_2,FPMap_1,FPAdd_0,FPMap_0,IntQ,FPReg_2
32,350.190,350.190,350.220,350.190,350.190,350.200,350.220,350.190,350.200,350.200,350.200,350.230,350.190,350.190,350.190,350.190,350.190,350.190,350.190,350.190,350.190,350.200,350.190,350.230,350.200,350.150,350.190,350.150,350.210,350.190
31,350.190,350.190,350.220,350.190,350.190,350.200,350.210,350.190,350.200,350.200,350.200,350.230,350.190,350.190,350.190,350.190,350.190,350.190,350.190,350.190,350.190,350.200,350.190,350.230,350.200,350.150,350.190,350.150,350.210,350.190
7,352.570,352.100,351.510,351.670,351.720,352.600,352.180,352.370,351.170,352.590,352.870,352.430,352.390,352.090,352.100,352.580,352.810,352.570,352.730,352.180,352.260,351.170,352.400,352.420,352.550,351.090,352.380,351.110,351.580,352.070
15,352.570,352.100,351.520,351.670,351.720,352.600,352.190,352.370,351.170,352.590,352.870,352.430,352.390,352.090,352.100,352.580,352.810,352.570,352.730,352.180,352.260,351.170,352.400,352.420,352.560,351.090,352.380,351.110,351.580,352.070
14,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
16,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
17,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
18,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
19,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
20,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
21,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
